left_down,331,1050,1523288398.542892
left_up,331,1050,1523288398.6734145
left_down,245,577,1523288413.2220635
left_up,245,577,1523288413.3527448
left_down,303,619,1523288414.7956226
left_up,303,619,1523288414.9296703
left_down,1013,531,1523288419.9424138
left_up,1013,531,1523288420.0739543
left_down,1886,124,1523288422.9530706
left_up,1886,124,1523288423.085131
left_down,365,413,1523288450.0206792
left_up,365,413,1523288450.1116986
left_down,1180,691,1523288452.1230857
left_up,1212,854,1523288470.131173
left_down,1378,1064,1523288481.8622396
left_up,1378,1064,1523288481.9900703
left_down,1319,1065,1523288483.6004763
left_up,1319,1065,1523288483.731829
left_down,647,1053,1523288489.6832016
left_up,647,1053,1523288489.815421
left_down,563,966,1523288494.755189
left_up,563,966,1523288494.8872147
left_down,370,265,1523288499.0523372
left_up,370,265,1523288499.17237
left_down,370,265,1523288499.2203722
left_up,370,265,1523288499.352215
left_down,370,265,1523288500.2450447
left_up,370,265,1523288500.3531048
left_down,370,265,1523288500.4090803
left_up,370,265,1523288500.5376296
left_down,1325,1072,1523288504.1041467
left_up,1325,1072,1523288504.23671
left_down,1256,883,1523288505.4398825
left_up,1256,883,1523288591.622623
doneleft_down,286,1059,1523288609.5182881
left_up,286,1059,1523288609.6461596
left_down,1878,116,1523288627.8924634
left_up,1878,116,1523288628.0246723
left_down,1256,905,1523288630.1909442
left_up,1256,905,1523288631.523056
done
